Classe,,N1,N2,N3,
1,<b>,-0.0,-0.0,0.0032972097,</b>
1,<b>,-0.0,-0.0,0.03993936,</b>
1,<b>,-0.0,0.0015143156,0.0015641451,</b>
1,<b>,-0.0,0.0025770068,-0.0,</b>
1,<b>,-0.0,0.011772901,-0.0,</b>
1,<b>,-0.0,0.020849973,-0.0,</b>
1,<b>,-0.0,0.02918604,-0.0,</b>
1,<b>,-0.0,0.03584245,0.033494756,</b>
1,<b>,-0.0,0.05796802,-0.0,</b>
1,<b>,-0.0,0.070272684,3.2559037e-05,</b>
1,<b>,-0.0,0.0811573,-0.0,</b>
1,<b>,-0.0,0.085329056,-0.0,</b>
1,<b>,-0.0,0.08674458,0.0012272596,</b>
1,<b>,-0.0,0.09273356,0.04675734,</b>
1,<b>,-0.0,0.097240955,-0.0,</b>
1,<b>,-0.0,0.114486754,-0.0,</b>
1,<b>,-0.0,0.11748099,-0.0,</b>
1,<b>,-0.0,0.12288442,0.015331954,</b>
1,<b>,-0.0,0.13517404,-0.0,</b>
1,<b>,-0.0,0.16342011,-0.0,</b>
1,<b>,-0.0,0.16504309,-0.0,</b>
1,<b>,-0.0,0.1725159,0.01825834,</b>
1,<b>,-0.0,0.18312925,-0.0,</b>
1,<b>,-0.0,0.19021027,0.020091161,</b>
1,<b>,-0.0,0.19102839,-0.0,</b>
1,<b>,-0.0,0.1915173,-0.0,</b>
1,<b>,-0.0,0.19374524,-0.0,</b>
1,<b>,-0.0,0.1970918,-0.0,</b>
1,<b>,-0.0,0.20076385,0.0062664375,</b>
1,<b>,-0.0,0.20230764,-0.0,</b>
1,<b>,-0.0,0.20698114,0.008154683,</b>
1,<b>,-0.0,0.21815681,-0.0,</b>
1,<b>,-0.0,0.23498352,-0.0,</b>
1,<b>,-0.0,0.2358577,-0.0,</b>
1,<b>,-0.0,0.23934302,-0.0,</b>
1,<b>,-0.0,0.23936555,-0.0,</b>
1,<b>,0.0013015568,-0.0,-0.0,</b>
1,<b>,0.0058701932,-0.0,-0.0,</b>
1,<b>,0.0060045123,-0.0,-0.0,</b>
1,<b>,0.006140232,-0.0,-0.0,</b>
1,<b>,0.008603305,-0.0,0.028849825,</b>
1,<b>,0.017396808,-0.0,0.037524357,</b>
1,<b>,0.031754106,-0.0,-0.0,</b>
1,<b>,0.03337398,-0.0,0.032214507,</b>
1,<b>,0.042049885,-0.0,-0.0,</b>
1,<b>,0.044175386,-0.0,-0.0,</b>
1,<b>,0.045966268,-0.0,-0.0,</b>
1,<b>,0.061264515,-0.0,-0.0,</b>
1,<b>,0.073043466,-0.0,-0.0,</b>
1,<b>,0.07630867,-0.0,-0.0,</b>
1,<b>,0.08595526,-0.0,-0.0,</b>
1,<b>,0.08776897,-0.0,-0.0,</b>
1,<b>,0.09168208,-0.0,-0.0,</b>
1,<b>,0.09360105,-0.0,-0.0,</b>
1,<b>,0.09522724,-0.0,-0.0,</b>
1,<b>,0.09692648,-0.0,-0.0,</b>
1,<b>,0.102446824,-0.0,-0.0,</b>
1,<b>,0.11103493,-0.0,-0.0,</b>
1,<b>,0.122734725,-0.0,-0.0,</b>
1,<b>,0.13783759,-0.0,-0.0,</b>
1,<b>,0.13868958,-0.0,-0.0,</b>
1,<b>,0.14340952,-0.0,-0.0,</b>
1,<b>,0.14691243,-0.0,-0.0,</b>
1,<b>,0.1488257,-0.0,-0.0,</b>
1,<b>,0.15380818,-0.0,-0.0,</b>
1,<b>,0.15510029,-0.0,-0.0,</b>
1,<b>,0.15744907,-0.0,-0.0,</b>
1,<b>,0.15747377,-0.0,-0.0,</b>
1,<b>,0.16327333,-0.0,-0.0,</b>
1,<b>,0.1694035,-0.0,-0.0,</b>
1,<b>,0.17008775,-0.0,-0.0,</b>
1,<b>,0.1728957,-0.0,-0.0,</b>
1,<b>,0.17567536,-0.0,-0.0,</b>
1,<b>,0.1813826,-0.0,-0.0,</b>
1,<b>,0.18435305,-0.0,-0.0,</b>
1,<b>,0.18626928,-0.0,-0.0,</b>
1,<b>,0.18680918,-0.0,-0.0,</b>
1,<b>,0.18797034,-0.0,-0.0,</b>
1,<b>,0.18820018,-0.0,-0.0,</b>
1,<b>,0.19305766,-0.0,-0.0,</b>
1,<b>,0.19653094,-0.0,-0.0,</b>
1,<b>,0.20460457,-0.0,-0.0,</b>
1,<b>,0.20464182,-0.0,-0.0,</b>
1,<b>,0.20823419,-0.0,-0.0,</b>
1,<b>,0.20890379,-0.0,-0.0,</b>
1,<b>,0.2099672,-0.0,-0.0,</b>
1,<b>,0.21164387,-0.0,-0.0,</b>
1,<b>,0.21423954,-0.0,-0.0,</b>
1,<b>,0.21599817,-0.0,-0.0,</b>
1,<b>,0.22457302,-0.0,-0.0,</b>
1,<b>,0.22695601,-0.0,-0.0,</b>
1,<b>,0.22835475,-0.0,-0.0,</b>
1,<b>,0.23004979,-0.0,-0.0,</b>
1,<b>,0.23058462,-0.0,-0.0,</b>
1,<b>,0.2321325,-0.0,-0.0,</b>
1,<b>,0.23863745,-0.0,-0.0,</b>
1,<b>,0.24073648,-0.0,-0.0,</b>
1,<b>,0.24105102,-0.0,-0.0,</b>
1,<b>,0.24278545,-0.0,-0.0,</b>
1,<b>,0.2460736,-0.0,-0.0,</b>
1,<b>,0.25133985,-0.0,-0.0,</b>
1,<b>,0.25829077,-0.0,-0.0,</b>
1,<b>,0.25997984,-0.0,-0.0,</b>
1,<b>,0.2647075,-0.0,-0.0,</b>
1,<b>,0.2668947,-0.0,-0.0,</b>
1,<b>,0.26763636,-0.0,-0.0,</b>
1,<b>,0.26826298,-0.0,-0.0,</b>
1,<b>,0.26984048,-0.0,-0.0,</b>
1,<b>,0.27105975,-0.0,-0.0,</b>
1,<b>,0.27167857,-0.0,-0.0,</b>
1,<b>,0.27502322,-0.0,-0.0,</b>
1,<b>,0.27502555,-0.0,-0.0,</b>
1,<b>,0.27530152,-0.0,-0.0,</b>
1,<b>,0.27603203,-0.0,-0.0,</b>
1,<b>,0.27942765,-0.0,-0.0,</b>
1,<b>,0.2796284,-0.0,-0.0,</b>
1,<b>,0.2799015,-0.0,-0.0,</b>
1,<b>,0.2803551,-0.0,-0.0,</b>
1,<b>,0.2822733,-0.0,-0.0,</b>
1,<b>,0.28256404,-0.0,-0.0,</b>
1,<b>,0.28652042,-0.0,-0.0,</b>
1,<b>,0.28951335,-0.0,-0.0,</b>
1,<b>,0.28992045,-0.0,-0.0,</b>
